time	V(c,n)
1.68643e-02	-1.80823e+02
1.68650e-02	-1.80800e+02
1.69771e-02	-2.14376e+02
1.69780e-02	-2.14134e+02
1.69903e-02	-2.05347e+02
1.69910e-02	-2.05317e+02
1.70624e-02	-2.25799e+02
1.71083e-02	-2.38490e+02
1.71090e-02	-2.38208e+02
1.71753e-02	-1.88923e+02
1.71760e-02	-1.88873e+02
1.72941e-02	-2.19782e+02
1.72950e-02	-2.19508e+02
1.73093e-02	-2.08756e+02
1.73100e-02	-2.08700e+02
1.73889e-02	-2.28482e+02
1.74313e-02	-2.38745e+02
1.74320e-02	-2.38440e+02
1.74883e-02	-1.94815e+02
1.74890e-02	-1.94743e+02
1.76093e-02	-2.22615e+02
1.76100e-02	-2.22303e+02
1.76283e-02	-2.08011e+02
1.76290e-02	-2.07935e+02
1.77306e-02	-2.30605e+02
1.77543e-02	-2.35711e+02
1.77550e-02	-2.35389e+02
1.78005e-02	-1.99097e+02
1.78010e-02	-1.99019e+02
1.79243e-02	-2.25010e+02
1.79250e-02	-2.24683e+02
1.79483e-02	-2.06006e+02
1.79490e-02	-2.05915e+02
1.80611e-02	-2.28880e+02
1.80763e-02	-2.31885e+02
1.80770e-02	-2.31552e+02
1.81133e-02	-2.02108e+02
1.81140e-02	-2.02012e+02
1.82393e-02	-2.26709e+02
1.82400e-02	-2.26372e+02
1.82693e-02	-2.02489e+02
1.82700e-02	-2.02389e+02
1.83973e-02	-2.26999e+02
1.83980e-02	-2.26661e+02
1.84273e-02	-2.02672e+02
1.84280e-02	-2.02571e+02
1.85523e-02	-2.26203e+02
1.85530e-02	-2.25862e+02
1.85903e-02	-1.95222e+02
1.85910e-02	-1.95119e+02
1.87183e-02	-2.19376e+02
1.87190e-02	-2.19038e+02
1.87413e-02	-2.00795e+02
1.87420e-02	-2.00694e+02
1.88663e-02	-2.24450e+02
1.88670e-02	-2.24111e+02
1.89123e-02	-1.86975e+02
1.89130e-02	-1.86873e+02
1.90261e-02	-2.08980e+02
1.90383e-02	-2.11351e+02
1.90390e-02	-2.11018e+02
1.90563e-02	-1.96998e+02
1.90570e-02	-1.96901e+02
1.91783e-02	-2.21032e+02
1.91790e-02	-2.20698e+02
1.92343e-02	-1.75846e+02
1.92350e-02	-1.75752e+02
1.93176e-02	-1.92797e+02
1.93573e-02	-2.01155e+02
1.93580e-02	-2.00832e+02
1.93723e-02	-1.89459e+02
1.93730e-02	-1.89374e+02
1.94903e-02	-2.14556e+02
1.94910e-02	-2.14234e+02
1.95583e-02	-1.60828e+02
1.95590e-02	-1.60748e+02
1.96169e-02	-1.73846e+02
1.96763e-02	-1.87671e+02
1.96770e-02	-1.87364e+02
1.96883e-02	-1.78659e+02
1.96890e-02	-1.78590e+02
1.98023e-02	-2.05778e+02
1.98030e-02	-2.05474e+02
1.98813e-02	-1.45472e+02
1.98820e-02	-1.45411e+02
1.99476e-02	-1.62264e+02
1.99933e-02	-1.74357e+02
1.99940e-02	-1.74073e+02
2.00063e-02	-1.64990e+02
2.00070e-02	-1.64944e+02
2.01133e-02	-1.94000e+02
2.01140e-02	-1.93720e+02
2.01980e-02	-1.32277e+02
2.02053e-02	-1.27032e+02
2.02060e-02	-1.26999e+02
2.02469e-02	-1.39047e+02
2.03113e-02	-1.58588e+02
2.03120e-02	-1.58333e+02
2.03233e-02	-1.50458e+02
2.03240e-02	-1.50441e+02
2.04243e-02	-1.82058e+02
2.04250e-02	-1.81808e+02
2.04994e-02	-1.30463e+02
2.05293e-02	-1.10152e+02
2.05300e-02	-1.10151e+02
2.05854e-02	-1.29125e+02
2.06273e-02	-1.43815e+02
2.06280e-02	-1.43591e+02
2.06423e-02	-1.34283e+02
2.06430e-02	-1.34298e+02
2.07353e-02	-1.67756e+02
2.07360e-02	-1.67539e+02
2.08220e-02	-1.12394e+02
2.08543e-02	-9.21040e+01
2.08550e-02	-9.21394e+01
2.09042e-02	-1.11577e+02
2.09433e-02	-1.27267e+02
2.09440e-02	-1.27080e+02
2.09613e-02	-1.16715e+02
2.09620e-02	-1.16768e+02
2.10453e-02	-1.51366e+02
2.10460e-02	-1.51186e+02
2.10880e-02	-1.26388e+02
2.11469e-02	-9.20637e+01
2.11793e-02	-7.35519e+01
2.11800e-02	-7.36280e+01
2.12209e-02	-9.21100e+01
2.12583e-02	-1.09277e+02
2.12590e-02	-1.09130e+02
2.12813e-02	-9.70480e+01
2.12820e-02	-9.71414e+01
2.13563e-02	-1.32363e+02
2.13570e-02	-1.32225e+02
2.14100e-02	-1.04115e+02
2.14640e-02	-7.59470e+01
2.15043e-02	-5.54605e+01
2.15050e-02	-5.55815e+01
2.15624e-02	-8.52923e+01
2.15723e-02	-9.04425e+01
2.15730e-02	-9.03390e+01
2.16023e-02	-7.62925e+01
2.16030e-02	-7.64306e+01
2.16666e-02	-1.10608e+02
2.16670e-02	-1.10608e+02
2.17310e-02	-8.08475e+01
2.17804e-02	-5.83824e+01
2.18293e-02	-3.68550e+01
2.18300e-02	-3.70247e+01
2.18863e-02	-7.00229e+01
2.18870e-02	-6.99663e+01
2.19233e-02	-5.50314e+01
2.19240e-02	-5.52179e+01
2.19763e-02	-8.69356e+01
2.19770e-02	-8.68909e+01
2.20520e-02	-5.73058e+01
2.20983e-02	-3.96299e+01
2.21541e-02	-1.90905e+01
2.21550e-02	-1.92745e+01
2.21993e-02	-4.84460e+01
2.22000e-02	-4.84394e+01
2.22453e-02	-3.30805e+01
2.22460e-02	-3.33188e+01
2.22873e-02	-6.13866e+01
2.22880e-02	-6.13931e+01
2.23591e-02	-3.85944e+01
2.24034e-02	-2.49005e+01
2.24531e-02	-1.01898e+01
2.24783e-02	-3.01935e+00
2.24790e-02	-3.29533e+00
2.25113e-02	-2.69946e+01
2.25120e-02	-2.70397e+01
2.25683e-02	-1.21918e+01
2.25690e-02	-1.24840e+01
2.25973e-02	-3.38559e+01
2.25980e-02	-3.39151e+01
2.26637e-02	-1.78528e+01
2.27118e-02	-6.61573e+00
2.27469e-02	1.10558e+00
2.28033e-02	1.29061e+01
2.28040e-02	1.25738e+01
2.28243e-02	-3.90375e+00
2.28250e-02	-4.00282e+00
2.28816e-02	6.56289e+00
2.28913e-02	8.27732e+00
2.28920e-02	7.92904e+00
2.29083e-02	-5.65014e+00
2.29090e-02	-5.76384e+00
2.29499e-02	1.08986e+00
2.30100e-02	1.06076e+01
2.30527e-02	1.67543e+01
2.30973e-02	2.26906e+01
2.31273e-02	2.63947e+01
2.31280e-02	2.60055e+01
2.31353e-02	1.95232e+01
2.31360e-02	1.93699e+01
2.31917e-02	2.54316e+01
2.32143e-02	2.76647e+01
2.32150e-02	2.72597e+01
2.32193e-02	2.33605e+01
2.32200e-02	2.31920e+01
2.32811e-02	2.84754e+01
2.33340e-02	3.23972e+01
2.33859e-02	3.54620e+01
2.34473e-02	3.83771e+01
2.34480e-02	3.88762e+01
2.34513e-02	4.23007e+01
2.34520e-02	4.25617e+01
2.35077e-02	4.42082e+01
2.35303e-02	4.47198e+01
2.35310e-02	4.52039e+01
2.35383e-02	5.26611e+01
2.35390e-02	5.29065e+01
2.35799e-02	5.32228e+01
2.36450e-02	5.29418e+01
2.37009e-02	5.17634e+01
2.37583e-02	4.99329e+01
2.37590e-02	5.03776e+01
2.37753e-02	6.61359e+01
2.37760e-02	6.63404e+01
2.38326e-02	6.34420e+01
2.38423e-02	6.29067e+01
2.38430e-02	6.33364e+01
2.38633e-02	8.25163e+01
2.38640e-02	8.27044e+01
2.39189e-02	7.85155e+01
2.39610e-02	7.47877e+01
2.40154e-02	6.92199e+01
2.40683e-02	6.33135e+01
2.40690e-02	6.37032e+01
2.40983e-02	8.97188e+01
2.40990e-02	8.98663e+01
2.41543e-02	8.25768e+01
2.41550e-02	8.29514e+01
